34.98,15.32,2,C
27.81,18.88,2,C
28.23,19.52,2,C
39.38,18.09,2,C
32.52,15.75,2,C
37.81,16.06,2,C
33.88,17.95,2,C
33.18,18.82,2,C
28.71,16.58,2,C
31.77,18.18,2,C
30.51,16.02,2,C
36.33,17.77,2,C
31.74,16.89,2,C
33.39,14.75,2,C
30.88,14.91,2,C
32.26,16.38,3,C
29.71,14.44,3,C
31.64,13.38,3,C
29.43,15.94,3,C
34.91,18.62,3,C
36.33,17.89,3,C
31.66,16.73,3,C
33.01,15.99,3,C
24.79,18.51,3,C
31.58,18.58,3,C
36.82,21.11,3,C
33.43,16.89,3,C
31.23,16.33,3,C
34.86,16.08,3,C
31.79,19.42,3,C
29.91,15.27,3,C
27.71,15.06,3,C
34.71,21.12,3,C
30.71,15.46,3,C
31.11,15.23,3,C
26.84,14.08,3,C
37.68,18.81,3,C
29.91,14.85,3,C
32.18,16.92,3,C
27.11,15.55,3,C
33.33,18.76,3,C
33.49,17.9,3,C
28.34,15.4,3,C
27.3,14.71,3,C
26.18,15.35,3,C
30.16,16.55,3,C
29.73,15.45,3,C
33.72,16.37,3,C
33.91,14.76,3,C
26.43,33.91,3,C
34.58,15.15,3,C
30.36,19.81,3,C
28.55,15.05,3,C
35.23,18.73,3,C
40.44,19.07,3,C
34.4,18.39,3,C
30.37,16.7,3,C
35.71,17.82,3,C
38.89,18.32,3,C
33.65,16.33,3,C
33.34,14.89,4,C
33.14,14.35,4,C
33.36,17.3,4,C
29.08,15.71,4,C
37.87,15.55,4,C
32.12,15.96,4,C
29.97,14.96,4,C
34.01,13.01,4,C
32.31,16.76,4,C
35.2,16.76,4,C
35.11,18.44,4,C
30.15,17.41,4,C
34.37,13.41,4,C
37.42,16.4,4,C
32.64,15.27,4,C
35.91,16.24,4,C
30.6,13.29,4,C
35.23,14.44,4,C
33.15,14.56,4,C
35.21,15.35,4,C
35.21,15.59,4,C
34.61,14.07,4,C
30.9,15.4,4,C
34.78,16.73,4,C
37.41,16.53,4,C
33.35,12.63,4,C
36.12,18.06,4,C
37.48,18.57,4,C
28.35,13.55,4,C
36.64,15.39,4,C
37.8,16.61,4,C
41.1,20.42,4,C
31.16,14.05,4,C
36.37,16.58,4,C
39.25,18.09,4,C
28.6,16.07,4,C
38.26,17.81,4,C
34.51,16.12,4,C
29.97,15.4,4,C
36.9,17.03,4,C
34.29,17.58,4,C
33.61,16.73,4,C
27.55,16.04,4,C
36.18,17.58,4,C
38.39,17.14,4,C
32.7,16.25,1,D
33.65,19.88,1,D
30.79,18.9,1,D
35.42,17.39,1,D
30.68,14.71,1,D
23.79,13.51,1,D
33.09,18.88,1,D
38.93,21.85,1,D
33.63,21.96,1,D
30.79,19.05,1,D
28.13,16.82,1,D
34.19,21.84,1,D
35.28,20.22,1,D
30.91,18.85,1,D
30.45,15.1,1,D
