gene_id,RC1,RC2,RC3,RF1,RF2,RF3,RM1,RM2,RM3,RS1,RS2,RS3
evm.model.tig082700000251.51,39,11,10,0,0,0,39,43,54,22,29,18
evm.model.tig082700000212.123,28,36,36,0,0,0,44,40,130,18,31,20
evm.model.tig082700000020.462,27,78,79,0,0,0,24,35,74,28,29,18
evm.model.tig082700000136.58,101,50,52,0,0,0,44,38,167,37,16,27
evm.model.tig082700000020.571,13,0,0,0,0,0,29,21,127,31,21,26
evm.model.tig082700002117.581,23,30,30,1,0,1,52,82,88,64,49,117
evm.model.tig082700000111.142,381,5,5,0,0,0,42,25,0,31,22,27
evm.model.tig082700000210.95,12,17,17,0,0,0,16,33,267,22,34,21
evm.model.tig082700000206.110,47,42,45,5,0,0,75,94,170,205,59,152
evm.model.tig082700000277.30,8,7,6,10,0,0,26,32,16,143,405,62
evm.model.tig082700000240.41,5,22,22,0,0,0,35,71,98,18,34,26
evm.model.tig082700000016.335,6,34,36,0,0,0,22,29,39,69,20,12
evm.model.tig082700000210.90,0,11,14,0,0,0,22,22,22,22,24,38
evm.model.tig082700000122.107,72,28,28,0,0,0,85,83,128,37,32,22
evm.model.tig082700000411.1,31,41,41,0,0,0,39,36,158,60,26,16
evm.model.tig082700000067.324,13,0,0,0,0,0,29,32,117,40,29,25
evm.model.tig082700000128.16,25,28,27,0,0,0,58,38,149,70,24,14
evm.model.tig082700000120.201,27,41,41,0,0,0,39,36,0,27,37,27
evm.model.tig082700000016.678,37,0,0,0,0,0,30,37,24,23,53,18
evm.model.tig082700000075.145,27,4,7,0,0,0,22,25,145,78,9,30
evm.model.tig082700000071.331,31,29,29,0,0,0,19,29,111,42,23,37
evm.model.tig082700000328.2,12,36,34,0,0,0,28,36,53,44,48,16
evm.model.tig082700000162.33,6,78,78,0,0,0,21,20,39,47,38,24
evm.model.tig082700000156.233,22,0,0,0,0,0,18,19,18,58,34,22
evm.model.tig082700000122.243,27,51,50,0,0,0,32,30,23,52,6,53
evm.model.tig082700000212.65,199,12,10,0,0,0,45,31,13,34,29,44
evm.model.tig082700000075.496,40,46,46,0,0,0,39,30,48,21,71,12
evm.model.tig082700000196.60,37,25,25,0,0,0,27,29,0,38,26,46
evm.model.tig082700000167.25,0,4,5,0,0,0,46,56,54,58,10,52
evm.model.tig082700000303.36,162,43,41,0,0,0,40,45,0,86,32,16
evm.model.tig082700000217.66,41,30,33,0,0,0,33,44,0,68,22,36
evm.model.tig082700000253.34,40,10,0,0,0,0,18,16,70,42,44,30
evm.model.tig082700000174.171,26,24,24,0,0,0,45,59,246,53,47,23
evm.model.tig082700000016.598,39,42,40,0,0,0,42,43,47,58,36,32
evm.model.tig082700000158.44,4,50,48,0,0,0,32,33,59,71,27,34
evm.model.tig082700000075.249,65,229,228,0,0,0,44,32,238,23,72,20
evm.model.tig082700000096.248,33,32,31,0,0,0,22,12,32,49,18,57
evm.model.tig082700000020.526,38,28,29,0,0,0,30,40,50,40,33,48
