ko,gene
ko00010,evm.model.tig082700000195.143
ko00980,evm.model.tig082700000195.143
ko00350,evm.model.tig082700000195.143
ko01110,evm.model.tig082700000195.143
ko00982,evm.model.tig082700000111.136
ko00620,evm.model.tig082700000111.136
ko01220,evm.model.tig082700000111.136
ko00071,evm.model.tig082700000111.136
ko01100,evm.model.tig082700000111.136
ko00680,evm.model.tig082700000111.136
ko00626,evm.model.tig082700000111.136
ko00830,evm.model.tig082700000111.136
ko04936,evm.model.tig082700000111.136
ko01200,evm.model.tig082700000111.136
ko01120,evm.model.tig082700000111.136
ko00625,evm.model.tig082700000111.136
ko00010,evm.model.tig082700000111.136
ko00980,evm.model.tig082700000111.136
ko00350,evm.model.tig082700000111.136
ko01110,evm.model.tig082700000111.136
ko00982,evm.model.tig082700000111.137
ko00620,evm.model.tig082700000111.137
ko01220,evm.model.tig082700000111.137
ko00071,evm.model.tig082700000111.137
ko01100,evm.model.tig082700000111.137
ko00680,evm.model.tig082700000111.137
ko00626,evm.model.tig082700000111.137
ko00830,evm.model.tig082700000111.137
ko04936,evm.model.tig082700000111.137
ko01200,evm.model.tig082700000111.137
ko01120,evm.model.tig082700000111.137
ko00625,evm.model.tig082700000111.137
ko00010,evm.model.tig082700000111.137
ko00980,evm.model.tig082700000111.137
ko00350,evm.model.tig082700000111.137
ko01110,evm.model.tig082700000111.137
ko00680,evm.model.tig082700000611.6
ko00630,evm.model.tig082700000611.6
ko01100,evm.model.tig082700000611.6
ko01120,evm.model.tig082700000611.6
ko01200,evm.model.tig082700000611.6
ko00680,evm.model.tig082700000185.52
ko00630,evm.model.tig082700000185.52
ko01100,evm.model.tig082700000185.52
ko01120,evm.model.tig082700000185.52
ko01200,evm.model.tig082700000185.52
ko00280,evm.model.tig082700000290.32
ko01110,evm.model.tig082700000290.32
ko00410,evm.model.tig082700000290.32
ko00010,evm.model.tig082700000290.32
ko01240,evm.model.tig082700000290.32
ko00310,evm.model.tig082700000290.32
ko00340,evm.model.tig082700000290.32
ko00561,evm.model.tig082700000290.32
ko00625,evm.model.tig082700000290.32
ko00620,evm.model.tig082700000290.32
ko04936,evm.model.tig082700000290.32
ko00770,evm.model.tig082700000290.32
ko00903,evm.model.tig082700000290.32
ko00981,evm.model.tig082700000290.32
ko00380,evm.model.tig082700000290.32
ko00053,evm.model.tig082700000290.32
ko01120,evm.model.tig082700000290.32
ko01100,evm.model.tig082700000290.32
ko00071,evm.model.tig082700000290.32
ko00330,evm.model.tig082700000290.32
ko00280,evm.model.tig082700000290.34
ko01110,evm.model.tig082700000290.34
ko00410,evm.model.tig082700000290.34
ko00010,evm.model.tig082700000290.34
ko01240,evm.model.tig082700000290.34
ko00310,evm.model.tig082700000290.34
ko00340,evm.model.tig082700000290.34
ko00561,evm.model.tig082700000290.34
ko00625,evm.model.tig082700000290.34
ko00620,evm.model.tig082700000290.34
ko04936,evm.model.tig082700000290.34
ko00770,evm.model.tig082700000290.34
ko00903,evm.model.tig082700000290.34
ko00981,evm.model.tig082700000290.34
ko00380,evm.model.tig082700000290.34
ko00053,evm.model.tig082700000290.34
ko01120,evm.model.tig082700000290.34
ko01100,evm.model.tig082700000290.34
ko00071,evm.model.tig082700000290.34
ko00330,evm.model.tig082700000290.34
ko00280,evm.model.tig082700000238.80
ko01110,evm.model.tig082700000238.80
ko00410,evm.model.tig082700000238.80
ko00010,evm.model.tig082700000238.80
ko01240,evm.model.tig082700000238.80
ko00310,evm.model.tig082700000238.80
ko00340,evm.model.tig082700000238.80
ko00561,evm.model.tig082700000238.80
ko00625,evm.model.tig082700000238.80
ko00620,evm.model.tig082700000238.80
ko04936,evm.model.tig082700000238.80
ko00770,evm.model.tig082700000238.80
ko00903,evm.model.tig082700000238.80
ko00981,evm.model.tig082700000238.80
ko00380,evm.model.tig082700000238.80
ko00053,evm.model.tig082700000238.80
ko01120,evm.model.tig082700000238.80
ko01100,evm.model.tig082700000238.80
ko00071,evm.model.tig082700000238.80
ko00330,evm.model.tig082700000238.80
ko00280,evm.model.tig082700000163.157
ko01110,evm.model.tig082700000163.157
ko00410,evm.model.tig082700000163.157
ko00010,evm.model.tig082700000163.157
ko01240,evm.model.tig082700000163.157
ko00310,evm.model.tig082700000163.157
ko00340,evm.model.tig082700000163.157
ko00561,evm.model.tig082700000163.157
ko00625,evm.model.tig082700000163.157
ko00620,evm.model.tig082700000163.157
ko04936,evm.model.tig082700000163.157
ko00770,evm.model.tig082700000163.157
ko00903,evm.model.tig082700000163.157
ko00981,evm.model.tig082700000163.157
ko00380,evm.model.tig082700000163.157
ko00053,evm.model.tig082700000163.157
