,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
evm.model.tig082700000180.156,16.96668706,7.205741264,1.775115995,4.05930727,4.92E-05,0.003100933
evm.model.tig082700000272.32,17.18666526,7.222439078,1.797751898,4.017483773,5.88E-05,0.003561111
evm.model.tig082700000254.59,17.26756067,7.227634487,1.845119612,3.917163116,8.96E-05,0.004943482
evm.model.tig082700031369.142,17.26811027,7.234107373,1.733851558,4.172276075,3.02E-05,0.002092047
evm.model.tig082700000296.23,65.87554014,7.235282939,1.530541853,4.727268925,2.28E-06,0.000266903
evm.model.tig082700000310.34,17.37171369,7.244533669,1.694475606,4.275383867,1.91E-05,0.001495995
evm.model.tig082700000174.65,17.58786056,7.261225491,1.670909576,4.345672318,1.39E-05,0.0011664
evm.model.tig082700000075.506,18.14176505,7.305105752,1.750051795,4.174222599,2.99E-05,0.002088446
evm.model.tig082700000075.454,18.16551421,7.306080832,1.800661775,4.057442065,4.96E-05,0.00311527
evm.model.tig082700000071.326,18.13673986,7.306161542,1.675020433,4.361834278,1.29E-05,0.001105276
evm.model.tig082700000253.24,18.78385856,7.352792806,1.84124877,3.993372826,6.51E-05,0.003868778
evm.model.tig082700000128.5,19.46010157,7.4071982,1.765927165,4.194509462,2.73E-05,0.001976669
evm.model.tig082700000122.192,19.70434275,7.424902234,1.662546793,4.465980907,7.97E-06,0.000743188
evm.model.tig082700000184.28,19.73336128,7.427495504,1.761927661,4.215550769,2.49E-05,0.001849287
evm.model.tig082700000196.73,19.76323246,7.433042919,1.623845484,4.577432392,4.71E-06,0.00048769
evm.model.tig082700000020.206,19.77629812,7.433841418,1.619267205,4.590867644,4.41E-06,0.000468398
evm.model.tig082700000120.82,20.68484927,7.498187276,1.613391217,4.647469999,3.36E-06,0.000375248
evm.model.tig082700000383.19,22.17722619,7.590264464,1.82064419,4.16899936,3.06E-05,0.00210534
evm.model.tig082700000122.174,22.37627326,7.60434887,1.759986598,4.320685668,1.56E-05,0.001289227
evm.model.tig082700000096.77,22.78125534,7.636401688,1.692205912,4.512690587,6.40E-06,0.000612325
evm.model.tig082700000167.99,22.91225075,7.639529012,1.732115852,4.410518501,1.03E-05,0.000915785
evm.model.tig082700000215.122,23.71957188,7.686926337,1.939950106,3.962435071,7.42E-05,0.004244031
evm.model.tig082700000428.12,24.10678843,7.718779492,1.594682667,4.840323188,1.30E-06,0.000162244
evm.model.tig082700002117.14,25.01178584,7.765168515,1.769229946,4.389010333,1.14E-05,0.001001659
evm.model.tig082700000120.274,25.2180931,7.783083191,1.609113527,4.836876367,1.32E-06,0.000163867
evm.model.tig082700000071.2,25.71554015,7.801300121,1.877944225,4.154170298,3.26E-05,0.00220592
evm.model.tig082700000096.382,25.80970085,7.821158152,1.542950059,5.068963901,4.00E-07,6.02E-05
evm.model.tig082700000016.604,26.17634974,7.840553808,1.542348487,5.083516387,3.71E-07,5.81E-05
evm.model.tig082700000296.14,26.60668049,7.85799595,1.690162682,4.649254201,3.33E-06,0.000374258
evm.model.tig082700000071.393,27.17040233,7.891372615,1.616369813,4.882157875,1.05E-06,0.000134956
evm.model.tig082700000228.60,28.54935532,7.956470062,1.853526354,4.292612319,1.77E-05,0.001425584
evm.model.tig082700000116.6,29.06013766,7.981828424,1.754720506,4.548774804,5.40E-06,0.000546894
evm.model.tig082700000096.7,28.93548618,7.986647816,1.538943299,5.189695956,2.11E-07,3.48E-05
evm.model.tig082700000174.140,29.90407397,8.029024129,1.617163001,4.964882404,6.87E-07,9.57E-05
evm.model.tig082700000385.22,30.04987532,8.035501606,1.687565524,4.761593842,1.92E-06,0.000226703
evm.model.tig082700000127.195,34.03621398,8.216959493,1.580022156,5.200534347,1.99E-07,3.34E-05
evm.model.tig082700000208.76,34.23741572,8.219627271,1.722767346,4.771176614,1.83E-06,0.000217555
evm.model.tig082700000210.5,34.27368888,8.228337034,1.553976789,5.295019264,1.19E-07,2.13E-05
evm.model.tig082700000221.102,336.9489393,8.259812638,1.509965314,5.470200249,4.50E-08,8.55E-06
evm.model.tig082700000172.193,36.63922905,8.328756445,1.458043955,5.712280767,1.11E-08,2.45E-06
evm.model.tig082700000180.11,40.23845376,8.454005248,1.739253365,4.860709438,1.17E-06,0.000149404
evm.model.tig082700000075.587,40.23381751,8.461720638,1.49061883,5.676649503,1.37E-08,2.88E-06
evm.model.tig082700000132.16,44.43373159,8.609141189,1.430254863,6.019305657,1.75E-09,4.47E-07
evm.model.tig082700000071.245,52.22081326,8.837985188,1.487688705,5.940749,2.84E-09,6.87E-07
