GO:0110165,Cellular Component,cellular anatomical entity,evm.model.tig082700000016.21
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.212
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.212
GO:0005886,Cellular Component,plasma membrane,evm.model.tig082700000016.214
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.214
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.214
GO:0005634,Cellular Component,nucleus,evm.model.tig082700000016.216
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.216
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.216
GO:0005634,Cellular Component,nucleus,evm.model.tig082700000016.217
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.217
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.217
GO:0005634,Cellular Component,nucleus,evm.model.tig082700000016.219
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.219
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.219
GO:0000922,Cellular Component,spindle pole,evm.model.tig082700000016.220
GO:0005737,Cellular Component,cytoplasm,evm.model.tig082700000016.220
GO:0005819,Cellular Component,spindle,evm.model.tig082700000016.220
GO:0005856,Cellular Component,cytoskeleton,evm.model.tig082700000016.220
GO:0005874,Cellular Component,microtubule,evm.model.tig082700000016.220
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.220
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.220
GO:0000922,Cellular Component,spindle pole,evm.model.tig082700000016.221
GO:0005737,Cellular Component,cytoplasm,evm.model.tig082700000016.221
GO:0005819,Cellular Component,spindle,evm.model.tig082700000016.221
GO:0005856,Cellular Component,cytoskeleton,evm.model.tig082700000016.221
GO:0005874,Cellular Component,microtubule,evm.model.tig082700000016.221
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.221
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.221
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.227
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.227
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.229
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.229
GO:0000922,Cellular Component,spindle pole,evm.model.tig082700000016.230
GO:0005737,Cellular Component,cytoplasm,evm.model.tig082700000016.230
GO:0005819,Cellular Component,spindle,evm.model.tig082700000016.230
GO:0005856,Cellular Component,cytoskeleton,evm.model.tig082700000016.230
GO:0005874,Cellular Component,microtubule,evm.model.tig082700000016.230
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.230
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.230
GO:0000922,Cellular Component,spindle pole,evm.model.tig082700000016.231
GO:0005737,Cellular Component,cytoplasm,evm.model.tig082700000016.231
GO:0005819,Cellular Component,spindle,evm.model.tig082700000016.231
GO:0005856,Cellular Component,cytoskeleton,evm.model.tig082700000016.231
GO:0005874,Cellular Component,microtubule,evm.model.tig082700000016.231
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.231
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.231
GO:0000922,Cellular Component,spindle pole,evm.model.tig082700000016.232
GO:0005737,Cellular Component,cytoplasm,evm.model.tig082700000016.232
GO:0005819,Cellular Component,spindle,evm.model.tig082700000016.232
GO:0005856,Cellular Component,cytoskeleton,evm.model.tig082700000016.232
GO:0005874,Cellular Component,microtubule,evm.model.tig082700000016.232
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.232
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.232
GO:0000922,Cellular Component,spindle pole,evm.model.tig082700000016.233
GO:0005737,Cellular Component,cytoplasm,evm.model.tig082700000016.233
GO:0005819,Cellular Component,spindle,evm.model.tig082700000016.233
GO:0005856,Cellular Component,cytoskeleton,evm.model.tig082700000016.233
GO:0005874,Cellular Component,microtubule,evm.model.tig082700000016.233
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.233
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.233
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.234
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.234
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.235
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.235
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.237
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.237
GO:0005886,Cellular Component,plasma membrane,evm.model.tig082700000016.239
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.239
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.239
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.241
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.241
GO:0000922,Cellular Component,spindle pole,evm.model.tig082700000016.242
GO:0005737,Cellular Component,cytoplasm,evm.model.tig082700000016.242
GO:0005819,Cellular Component,spindle,evm.model.tig082700000016.242
GO:0005856,Cellular Component,cytoskeleton,evm.model.tig082700000016.242
GO:0005874,Cellular Component,microtubule,evm.model.tig082700000016.242
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.242
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.242
GO:0000922,Cellular Component,spindle pole,evm.model.tig082700000016.243
GO:0005737,Cellular Component,cytoplasm,evm.model.tig082700000016.243
GO:0005819,Cellular Component,spindle,evm.model.tig082700000016.243
GO:0005856,Cellular Component,cytoskeleton,evm.model.tig082700000016.243
GO:0005874,Cellular Component,microtubule,evm.model.tig082700000016.243
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.243
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.243
GO:0000922,Cellular Component,spindle pole,evm.model.tig082700000016.244
GO:0005737,Cellular Component,cytoplasm,evm.model.tig082700000016.244
GO:0005819,Cellular Component,spindle,evm.model.tig082700000016.244
GO:0005856,Cellular Component,cytoskeleton,evm.model.tig082700000016.244
GO:0005874,Cellular Component,microtubule,evm.model.tig082700000016.244
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.244
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.244
GO:0000922,Cellular Component,spindle pole,evm.model.tig082700000016.245
GO:0005737,Cellular Component,cytoplasm,evm.model.tig082700000016.245
GO:0005819,Cellular Component,spindle,evm.model.tig082700000016.245
GO:0005856,Cellular Component,cytoskeleton,evm.model.tig082700000016.245
GO:0005874,Cellular Component,microtubule,evm.model.tig082700000016.245
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.245
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.245
GO:0000922,Cellular Component,spindle pole,evm.model.tig082700000016.246
GO:0005737,Cellular Component,cytoplasm,evm.model.tig082700000016.246
GO:0005819,Cellular Component,spindle,evm.model.tig082700000016.246
GO:0005856,Cellular Component,cytoskeleton,evm.model.tig082700000016.246
GO:0005874,Cellular Component,microtubule,evm.model.tig082700000016.246
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.246
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.246
GO:0000922,Cellular Component,spindle pole,evm.model.tig082700000016.247
GO:0005737,Cellular Component,cytoplasm,evm.model.tig082700000016.247
GO:0005819,Cellular Component,spindle,evm.model.tig082700000016.247
GO:0005856,Cellular Component,cytoskeleton,evm.model.tig082700000016.247
GO:0005874,Cellular Component,microtubule,evm.model.tig082700000016.247
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.247
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.247
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.248
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.248
GO:0005576,Cellular Component,extracellular region,evm.model.tig082700000016.25
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.25
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.25
GO:0000922,Cellular Component,spindle pole,evm.model.tig082700000016.250
GO:0005737,Cellular Component,cytoplasm,evm.model.tig082700000016.250
GO:0005819,Cellular Component,spindle,evm.model.tig082700000016.250
GO:0005856,Cellular Component,cytoskeleton,evm.model.tig082700000016.250
GO:0005874,Cellular Component,microtubule,evm.model.tig082700000016.250
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.250
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.250
GO:0000922,Cellular Component,spindle pole,evm.model.tig082700000016.251
GO:0005737,Cellular Component,cytoplasm,evm.model.tig082700000016.251
GO:0005819,Cellular Component,spindle,evm.model.tig082700000016.251
GO:0005856,Cellular Component,cytoskeleton,evm.model.tig082700000016.251
GO:0005874,Cellular Component,microtubule,evm.model.tig082700000016.251
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.251
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.251
GO:0000922,Cellular Component,spindle pole,evm.model.tig082700000016.252
GO:0005737,Cellular Component,cytoplasm,evm.model.tig082700000016.252
GO:0005819,Cellular Component,spindle,evm.model.tig082700000016.252
GO:0005856,Cellular Component,cytoskeleton,evm.model.tig082700000016.252
GO:0005874,Cellular Component,microtubule,evm.model.tig082700000016.252
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.252
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.252
GO:0000922,Cellular Component,spindle pole,evm.model.tig082700000016.254
GO:0005737,Cellular Component,cytoplasm,evm.model.tig082700000016.254
GO:0005819,Cellular Component,spindle,evm.model.tig082700000016.254
GO:0005856,Cellular Component,cytoskeleton,evm.model.tig082700000016.254
GO:0005874,Cellular Component,microtubule,evm.model.tig082700000016.254
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.254
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.254
GO:0000922,Cellular Component,spindle pole,evm.model.tig082700000016.256
GO:0005737,Cellular Component,cytoplasm,evm.model.tig082700000016.256
GO:0005819,Cellular Component,spindle,evm.model.tig082700000016.256
GO:0005856,Cellular Component,cytoskeleton,evm.model.tig082700000016.256
GO:0005874,Cellular Component,microtubule,evm.model.tig082700000016.256
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.256
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.256
GO:0000922,Cellular Component,spindle pole,evm.model.tig082700000016.258
GO:0005737,Cellular Component,cytoplasm,evm.model.tig082700000016.258
GO:0005819,Cellular Component,spindle,evm.model.tig082700000016.258
GO:0005856,Cellular Component,cytoskeleton,evm.model.tig082700000016.258
GO:0005874,Cellular Component,microtubule,evm.model.tig082700000016.258
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.258
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.258
GO:0000922,Cellular Component,spindle pole,evm.model.tig082700000016.259
GO:0005737,Cellular Component,cytoplasm,evm.model.tig082700000016.259
GO:0005819,Cellular Component,spindle,evm.model.tig082700000016.259
GO:0005856,Cellular Component,cytoskeleton,evm.model.tig082700000016.259
GO:0005874,Cellular Component,microtubule,evm.model.tig082700000016.259
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.259
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.259
GO:0005737,Cellular Component,cytoplasm,evm.model.tig082700000016.26
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.260
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.260
GO:0000922,Cellular Component,spindle pole,evm.model.tig082700000016.261
GO:0005737,Cellular Component,cytoplasm,evm.model.tig082700000016.261
GO:0005819,Cellular Component,spindle,evm.model.tig082700000016.261
GO:0005856,Cellular Component,cytoskeleton,evm.model.tig082700000016.261
GO:0005874,Cellular Component,microtubule,evm.model.tig082700000016.261
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.261
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.261
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.262
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.262
GO:0000922,Cellular Component,spindle pole,evm.model.tig082700000016.263
GO:0005737,Cellular Component,cytoplasm,evm.model.tig082700000016.263
GO:0005819,Cellular Component,spindle,evm.model.tig082700000016.263
GO:0005856,Cellular Component,cytoskeleton,evm.model.tig082700000016.263
GO:0005874,Cellular Component,microtubule,evm.model.tig082700000016.263
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.263
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.263
GO:0000922,Cellular Component,spindle pole,evm.model.tig082700000016.264
GO:0005737,Cellular Component,cytoplasm,evm.model.tig082700000016.264
GO:0005819,Cellular Component,spindle,evm.model.tig082700000016.264
GO:0005856,Cellular Component,cytoskeleton,evm.model.tig082700000016.264
GO:0005874,Cellular Component,microtubule,evm.model.tig082700000016.264
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.264
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.264
GO:0000922,Cellular Component,spindle pole,evm.model.tig082700000016.265
GO:0005737,Cellular Component,cytoplasm,evm.model.tig082700000016.265
GO:0005819,Cellular Component,spindle,evm.model.tig082700000016.265
GO:0005856,Cellular Component,cytoskeleton,evm.model.tig082700000016.265
GO:0005874,Cellular Component,microtubule,evm.model.tig082700000016.265
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.265
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.265
GO:0000922,Cellular Component,spindle pole,evm.model.tig082700000016.266
GO:0005737,Cellular Component,cytoplasm,evm.model.tig082700000016.266
GO:0005819,Cellular Component,spindle,evm.model.tig082700000016.266
GO:0005856,Cellular Component,cytoskeleton,evm.model.tig082700000016.266
GO:0005874,Cellular Component,microtubule,evm.model.tig082700000016.266
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.266
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.266
GO:0000922,Cellular Component,spindle pole,evm.model.tig082700000016.267
GO:0005737,Cellular Component,cytoplasm,evm.model.tig082700000016.267
GO:0005819,Cellular Component,spindle,evm.model.tig082700000016.267
GO:0005856,Cellular Component,cytoskeleton,evm.model.tig082700000016.267
GO:0005874,Cellular Component,microtubule,evm.model.tig082700000016.267
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.267
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.267
GO:0000922,Cellular Component,spindle pole,evm.model.tig082700000016.268
GO:0005737,Cellular Component,cytoplasm,evm.model.tig082700000016.268
GO:0005819,Cellular Component,spindle,evm.model.tig082700000016.268
GO:0005856,Cellular Component,cytoskeleton,evm.model.tig082700000016.268
GO:0005874,Cellular Component,microtubule,evm.model.tig082700000016.268
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.268
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.268
GO:0000922,Cellular Component,spindle pole,evm.model.tig082700000016.269
GO:0005737,Cellular Component,cytoplasm,evm.model.tig082700000016.269
GO:0005819,Cellular Component,spindle,evm.model.tig082700000016.269
GO:0005856,Cellular Component,cytoskeleton,evm.model.tig082700000016.269
GO:0005874,Cellular Component,microtubule,evm.model.tig082700000016.269
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.269
