"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","RF1","RF2","RF3","RC1","RC2","RC3"
"13415","evm.model.tig082700000016.872",39.00269,0.6459344,1.797824,0.3592868,0.7193805,0.9560478,15.34399,0,128.0459,64.49858,13.51334,12.61434
"13416","evm.model.tig082700000071.424",70.35382,0.4052857,1.128293,0.3592024,0.7194437,0.9560478,23.83216,89.57082,128.0459,6.789324,86.48538,87.39936
"13417","evm.model.tig082700000075.101",124.8236,0.3883357,1.082198,0.3588396,0.7197151,0.9561812,162.581,25.45697,237.3533,22.63108,152.2503,148.669
"13418","evm.model.tig082700000147.222",807.0744,0.2195009,0.611951,0.3586903,0.7198268,0.9561812,1384.224,420.5114,799.506,571.4348,831.5209,835.2496
"13419","evm.model.tig082700000180.124",36.62652,-0.3703371,1.032641,-0.3586309,0.7198712,0.9561812,45.7055,3.771403,46.84606,48.65682,37.83735,36.942
"13420","evm.model.tig082700000217.59",88.05214,-0.4367467,1.217544,-0.3587114,0.719811,0.9561812,3.917615,124.4563,96.81518,37.34128,131.5299,134.2526
"13421","evm.model.tig082700000277.46",184.1556,-0.2856815,0.7959425,-0.3589222,0.7196533,0.9561812,47.01138,141.4276,312.307,210.469,195.493,198.2254
"13422","evm.model.tig082700031374.56",135.9145,-0.2714322,0.7563759,-0.3588589,0.7197007,0.9561812,56.15248,234.7698,78.07676,108.6292,170.2681,167.5905
"13423","evm.model.tig082700000016.104",188.7603,-0.4063067,1.13379,-0.3583614,0.7200729,0.9561949,295.127,7.542806,184.2612,210.469,218.9161,216.2458
"13424","evm.model.tig082700000016.480",253.5187,-0.3007247,0.83938,-0.3582701,0.7201412,0.9561949,329.4061,284.7409,65.58448,118.8132,361.2566,361.3108
"13425","evm.model.tig082700000106.119",646.1021,-0.300426,0.8383774,-0.3583422,0.7200872,0.9561949,636.2859,942.8508,156.1535,1183.605,481.0749,476.6419
"13426","evm.model.tig082700000136.107",66.69296,0.5984098,1.670354,0.3582533,0.7201537,0.9561949,35.585,0,206.1226,70.15635,44.14358,44.15019
"13427","evm.model.tig082700000289.21",239.4383,-0.2150713,0.600444,-0.358187,0.7202034,0.9561949,120.1402,357.3404,187.3842,210.469,280.1766,281.1196
"13428","evm.model.tig082700002120.1",68.01006,0.1741761,0.4862687,0.358189,0.7202019,0.9561949,53.21427,82.97087,81.19983,73.55101,58.55781,58.56658
"13429","evm.model.tig082700000175.95",91.26459,-0.3564286,0.9953806,-0.3580827,0.7202814,0.9562231,148.2164,10.37136,81.19983,73.55101,116.2147,118.0342
"13430","evm.model.tig082700000377.54",78.08846,-0.5078041,1.418387,-0.3580153,0.7203319,0.9562231,157.3575,34.88548,0,78.07723,99.09783,99.11268
"13431","evm.model.tig082700000075.532",122.4875,0.5424912,1.51851,0.3572523,0.7209029,0.956468,353.8912,81.08517,0,127.8656,85.58449,86.49834
"13432","evm.model.tig082700000106.245",35.62354,-0.4566516,1.278437,-0.3571953,0.7209456,0.956468,62.35537,26.39982,0,42.99905,41.44091,40.5461
"13433","evm.model.tig082700000128.162",88.57492,-0.3434549,0.9609894,-0.3573971,0.7207945,0.956468,90.75807,10.37136,134.292,108.6292,94.59339,92.80551
"13434","evm.model.tig082700000139.58",96.08924,0.2462746,0.6892727,0.3572963,0.72087,0.956468,115.8961,154.6275,40.59991,64.49858,100.8996,100.0137
"13435","evm.model.tig082700000149.198",139.6525,-0.5466209,1.528357,-0.3576526,0.7206033,0.956468,172.7015,166.8846,0,354.1764,74.77382,69.37888
"13436","evm.model.tig082700000162.55",289.7407,-0.1974767,0.5521989,-0.3576187,0.7206287,0.956468,200.7778,175.3702,437.2299,334.94,297.2935,292.8329
"13437","evm.model.tig082700000163.24",104.646,0.2050134,0.5734089,0.3575343,0.7206918,0.956468,158.3369,95.22793,81.19983,63.36702,114.413,115.3311
"13438","evm.model.tig082700002117.639",43.3663,0.3672438,1.028085,0.3572117,0.7209334,0.956468,101.205,37.71403,6.246141,33.94662,41.44091,39.64507
"13439","evm.model.tig082700000016.349",203.174,0.2764883,0.7750084,0.3567552,0.7212751,0.9565823,335.2825,64.11385,268.5841,122.2078,212.6099,216.2458
"13440","evm.model.tig082700000020.553",35.2617,0.3004958,0.8422326,0.3567849,0.7212529,0.9565823,14.69106,32.05693,71.83062,40.73594,25.2249,27.03073
"13441","evm.model.tig082700000067.258",96.28725,0.182553,0.5114179,0.3569547,0.7211257,0.9565823,88.14633,74.48521,146.7843,105.2345,81.98093,81.09219
"13442","evm.model.tig082700000106.173",81.46993,0.5813472,1.629693,0.3567219,0.7213,0.9565823,149.5223,0,143.6612,27.1573,85.58449,82.89424
"13443","evm.model.tig082700031369.86",446.2167,0.2153739,0.6037138,0.3567484,0.7212802,0.9565823,623.5537,572.3104,240.4764,262.5205,488.2821,490.1572
"13444","evm.model.tig082700000016.880",129.0095,0.5899069,1.6542,0.3566115,0.7213827,0.9566208,187.3926,0,277.9533,170.8647,69.36848,68.47785
"13445","evm.model.tig082700000016.777",95.79267,0.2133452,0.598974,0.3561843,0.7217025,0.9566641,140.3812,98.05648,68.70755,53.18304,107.2058,107.2219
