gene_id,RC1,RC2,RC3,RF1,RF2,RF3,RM1,RM2,RM3,RS1,RS2,RS3
evm.model.tig082700000160.67,474,228,225,939,2168,5865,177,196,328,253,113,108
evm.model.tig082700000075.17,10792,10764,10785,646,10272,1896,1446,1597,127,6,243,39
evm.model.tig082700000139.33,81,93,93,56,485,3807,67,90,14,154,83,50
evm.model.tig082700000210.74,5842,352,354,911,7472,13626,2767,2563,322,544,265,315
evm.model.tig082700000174.33,19368,83,82,1018,7230,1643,1649,1826,318,117,78,76
evm.model.tig082700000151.129,73,9,11,166,1769,2156,266,225,11,92,60,41
evm.model.tig082700000106.49,11173,253,248,2947,4931,2569,564,472,204,169,130,24
evm.model.tig082700000132.21,668,190,189,128,774,6080,184,177,281,252,152,67
evm.model.tig082700000111.394,11068,289,288,13020,55272,24902,1354,1273,1611,675,1695,409
evm.model.tig082700000331.50,2844,227,226,1066,12905,5359,321,288,457,265,248,140
evm.model.tig082700000127.117,1100,35,39,125,1626,989,518,499,125,79,26,17
evm.model.tig082700000349.58,117,192,190,203,1659,4390,393,448,268,166,95,102
evm.model.tig082700000096.32,43,72,73,135,2507,2305,86,96,62,164,53,48
evm.model.tig082700000132.201,760,63,60,3389,2421,2529,83,89,46,108,81,91
evm.model.tig082700000113.294,5768,125,122,1610,7646,8688,281,289,412,614,216,157
evm.model.tig082700000238.50,382,136,137,1078,6327,8325,428,443,343,464,234,172
evm.model.tig082700000351.21,229,80,77,264,7491,4632,131,167,386,320,201,68
evm.model.tig082700000151.130,1905,96,94,103,2108,3348,2358,2364,299,129,98,89
evm.model.tig082700000210.51,140,18,15,240,1055,2488,91,113,123,105,79,48
evm.model.tig082700000067.202,196,48,48,159,12673,26066,161,125,477,123,1860,96
evm.model.tig082700000151.8,231,68,69,154,1367,3930,165,131,384,150,121,84
evm.model.tig082700000393.17,270,181,181,2710,19675,2107,137,194,444,251,355,78
evm.model.tig082700000156.36,20802,729,733,480,4116,12557,178,177,779,377,505,232
evm.model.tig082700000156.65,111,89,87,267,1320,3426,128,127,372,105,85,118
evm.model.tig082700000292.69,190,182,181,468,4561,3318,130,114,170,178,175,52
evm.model.tig082700000383.39,49,42,40,142,967,3023,129,122,418,68,58,134
evm.model.tig082700000140.218,1453,34,34,161,1007,2858,76,74,281,125,88,64
evm.model.tig082700031374.39,3080,65,61,263,1486,3550,92,92,400,239,122,37
evm.model.tig082700000195.87,9742,212,211,551,11200,4007,236,249,502,271,181,209
evm.model.tig082700000153.37,689,47,46,39,3375,2082,352,342,104,96,72,101
evm.model.tig082700000258.58,16,47,46,117,2285,1166,64,34,79,98,50,33
evm.model.tig082700000156.15,52,135,133,173,4806,3494,151,117,147,223,122,122
evm.model.tig082700000136.23,101,115,120,411,1684,4825,194,213,108,189,159,148
evm.model.tig082700000208.12,2855,59,61,53,295,1144,56,40,4,64,47,13
evm.model.tig082700000448.3,919,241,243,641,3767,9493,272,256,520,560,330,183
evm.model.tig082700000113.70,718,50,52,272,2048,1418,49,83,113,102,45,58
evm.model.tig082700000310.24,23839,696,688,8997,22883,16537,591,548,144,154,1743,116
evm.model.tig082700000321.24,365,34,34,229,507,2271,157,116,205,117,72,54
evm.model.tig082700000353.28,2613,44,44,98,596,811,63,47,44,56,33,16
evm.model.tig082700000136.294,45,60,60,242,2243,2959,100,108,75,161,79,130
evm.model.tig082700000433.47,1294,2068,2067,76,929,1027,159,171,180,109,38,12
evm.model.tig082700000187.91,14,22,22,243,2477,1645,49,80,254,164,50,64
evm.model.tig082700000419.15,14680,387,390,487,12705,6842,4087,4039,70,152,772,94
evm.model.tig082700000301.10,92,234,236,248,908,6985,215,198,448,241,260,255
evm.model.tig082700000127.40,1892,395,397,523,6188,5712,328,362,841,338,266,230
evm.model.tig082700000151.102,952,49,46,161,5358,5681,1394,1219,772,549,179,171
evm.model.tig082700000283.35,28,31,33,447,3622,1316,93,68,123,135,90,57
evm.model.tig082700000153.24,2821,82,80,2100,3233,2950,556,604,215,154,202,91
evm.model.tig082700000195.82,1045,190,188,2163,4488,2853,124,139,350,208,136,156
evm.model.tig082700000160.172,195,98,100,390,672,4161,212,161,400,304,150,88
evm.model.tig082700000075.609,392,121,121,350,3009,1940,121,111,178,196,99,68
evm.model.tig082700000187.56,417,32,33,777,1520,2818,208,196,254,117,137,121
evm.model.tig082700000434.1,372,26,30,103,1070,2945,251,217,210,135,120,128
evm.model.tig082700000149.38,148,169,169,1548,5336,4100,289,208,517,330,224,174
evm.model.tig082700000016.27,130,16,18,1624,363,397,56,31,210,21,19,37
evm.model.tig082700000163.162,182,85,91,799,7961,10495,121,127,279,223,1010,190
evm.model.tig082700000223.17,2889,113,114,137,3761,1782,192,249,228,206,112,69
evm.model.tig082700000016.603,2427,72,73,872,10152,3087,180,189,482,356,206,226
evm.model.tig082700000238.35,1168,34,35,89,226,513,29,26,64,21,16,33
evm.model.tig082700000292.62,127,85,82,194,1037,1063,163,163,149,70,58,49
